,PROTEIN
6405,ORF1a polyprotein
1201,ORF1ab polyprotein
8929,ORF1ab polyprotein
109,ORF1a polyprotein
10934,surface glycoprotein
3683,surface glycoprotein
2893,ORF1a polyprotein
10230,surface glycoprotein
1038,ORF1ab polyprotein
3912,surface glycoprotein
8220,ORF1ab polyprotein
1684,ORF1ab polyprotein
10596,ORF1a polyprotein
12903,ORF1ab polyprotein
5345,ORF1ab polyprotein
5565,ORF1a polyprotein
686,ORF1a polyprotein
11698,nucleocapsid phosphoprotein
1332,ORF1ab polyprotein
285,ORF1ab polyprotein
6693,ORF1ab polyprotein
566,ORF1ab polyprotein
8070,ORF1ab polyprotein
3728,surface glycoprotein
3350,ORF1ab polyprotein
1481,ORF1ab polyprotein
7463,ORF1a polyprotein
9048,ORF1ab polyprotein
2824,ORF1a polyprotein
44,ORF1ab polyprotein
8138,ORF1ab polyprotein
12481,ORF5 protein
303,ORF1a polyprotein
2249,ORF1ab polyprotein
3573,ORF1ab polyprotein
4442,nucleocapsid phosphoprotein
12170,ORF1a polyprotein
3141,ORF1ab polyprotein
10475,nucleocapsid phosphoprotein
5629,ORF1a polyprotein
6231,ORF1ab polyprotein
2285,surface glycoprotein
11467,ORF1ab polyprotein
5024,surface glycoprotein
11221,ORF3a protein
12889,ORF1ab polyprotein
5930,ORF1ab polyprotein
6599,surface glycoprotein
9298,ORF1ab polyprotein
6304,ORF1ab polyprotein
12008,ORF4a protein
10112,ORF1ab polyprotein
12171,surface glycoprotein
8773,ORF1ab polyprotein
1957,ORF1a polyprotein
9192,ORF1ab polyprotein
3538,ORF1ab polyprotein
8432,ORF1ab polyprotein
1243,ORF1ab polyprotein
6160,ORF1ab polyprotein
4676,surface glycoprotein
7619,ORF1ab polyprotein
4726,ORF1ab polyprotein
1829,ORF1ab polyprotein
9331,ORF1a polyprotein
2362,ORF1ab polyprotein
5063,ORF1a polyprotein
7934,ORF6 protein
10718,ORF1a polyprotein
8916,ORF1a polyprotein
8507,ORF1ab polyprotein
7004,ORF1ab polyprotein
7379,ORF1ab polyprotein
7098,ORF1a polyprotein
12656,ORF1ab polyprotein
10247,nucleocapsid phosphoprotein
2300,ORF1a polyprotein
8277,ORF1ab polyprotein
7502,ORF1ab polyprotein
8574,ORF1a polyprotein
5885,ORF1ab polyprotein
4920,surface glycoprotein
3063,ORF1a polyprotein
12020,surface glycoprotein
12294,surface glycoprotein
4760,ORF1a polyprotein
8947,ORF1ab polyprotein
10939,ORF1a polyprotein
9558,ORF1ab polyprotein
2960,ORF1ab polyprotein
9596,ORF1a polyprotein
5193,ORF1ab polyprotein
12862,ORF1a polyprotein
10936,ORF1a polyprotein
3644,surface glycoprotein
6102,ORF1ab polyprotein
5287,ORF1a polyprotein
6084,ORF1ab polyprotein
5366,ORF1a polyprotein
8936,ORF1a polyprotein
4391,ORF1ab polyprotein
6635,surface glycoprotein
7972,ORF1a polyprotein
3735,ORF1ab polyprotein
8511,ORF1ab polyprotein
8678,ORF1ab polyprotein
6333,ORF1a polyprotein
7420,ORF3a protein
6387,ORF1ab polyprotein
1308,ORF1ab polyprotein
3706,ORF1a polyprotein
13023,ORF4a protein
2201,ORF1a polyprotein
3208,surface glycoprotein
9554,ORF1ab polyprotein
2237,ORF1a polyprotein
9726,ORF1ab polyprotein
11850,surface glycoprotein
2017,ORF1a polyprotein
6746,ORF1a polyprotein
8417,ORF1a polyprotein
5832,ORF1ab polyprotein
9955,surface glycoprotein
7406,ORF7b protein
12742,ORF1ab polyprotein
16,ORF1a polyprotein
2484,ORF1ab polyprotein
9178,ORF1a polyprotein
5171,ORF1ab polyprotein
2188,ORF1ab polyprotein
12468,ORF1ab polyprotein
4964,ORF1ab polyprotein
4171,nucleocapsid phosphoprotein
6332,nucleocapsid phosphoprotein
4775,ORF1ab polyprotein
1788,ORF1a polyprotein
6111,ORF1a polyprotein
8846,surface glycoprotein
13050,surface glycoprotein
9701,ORF1a polyprotein
132,ORF1ab polyprotein
1904,ORF1a polyprotein
10824,ORF1ab polyprotein
2657,ORF1ab polyprotein
1864,ORF1ab polyprotein
1307,ORF1ab polyprotein
4887,ORF1a polyprotein
9249,ORF1a polyprotein
8713,surface glycoprotein
10128,surface glycoprotein
6330,ORF1ab polyprotein
8204,ORF1ab polyprotein
8584,ORF1ab polyprotein
9938,ORF1a polyprotein
1852,ORF1a polyprotein
5332,ORF1a polyprotein
2187,ORF1ab polyprotein
10840,ORF7b protein
5405,ORF1a polyprotein
2956,ORF1a polyprotein
2727,ORF1a polyprotein
7671,ORF1ab polyprotein
4055,surface glycoprotein
123,ORF1ab polyprotein
9824,ORF1ab polyprotein
7402,nucleocapsid phosphoprotein
2730,ORF1a polyprotein
460,ORF1a polyprotein
7806,ORF1ab polyprotein
11459,nucleocapsid phosphoprotein
2735,surface glycoprotein
9871,ORF1a polyprotein
3410,ORF1ab polyprotein
7644,ORF1ab polyprotein
6727,ORF1ab polyprotein
1546,ORF1a polyprotein
5325,surface glycoprotein
8999,ORF1ab polyprotein
11156,nucleocapsid phosphoprotein
719,ORF1a polyprotein
8236,surface glycoprotein
10552,surface glycoprotein
2132,ORF1a polyprotein
3664,ORF1ab polyprotein
7117,ORF1ab polyprotein
3388,ORF1a polyprotein
4955,ORF1ab polyprotein
1921,ORF1ab polyprotein
7748,ORF1ab polyprotein
3114,ORF1a polyprotein
1213,ORF1ab polyprotein
10341,ORF1ab polyprotein
2394,ORF1ab polyprotein
7279,nucleocapsid phosphoprotein
12135,ORF1ab polyprotein
3716,ORF1a polyprotein
5044,ORF1a polyprotein
8248,ORF1ab polyprotein
1226,ORF1ab polyprotein
11028,nucleocapsid phosphoprotein
8653,surface glycoprotein
10405,ORF1a polyprotein
9679,ORF1a polyprotein
437,ORF1a polyprotein
5191,ORF1ab polyprotein
4408,ORF1ab polyprotein
9152,surface glycoprotein
10349,ORF1ab polyprotein
13100,surface glycoprotein
4840,ORF1a polyprotein
3151,ORF1a polyprotein
7202,ORF1ab polyprotein
10224,surface glycoprotein
8631,ORF1a polyprotein
8933,ORF1a polyprotein
931,ORF1ab polyprotein
105,ORF1a polyprotein
7421,ORF1ab polyprotein
855,ORF1a polyprotein
8541,ORF1ab polyprotein
4030,ORF1ab polyprotein
1148,ORF1a polyprotein
2731,surface glycoprotein
2930,ORF1ab polyprotein
8602,ORF1ab polyprotein
6489,ORF1ab polyprotein
7645,ORF1a polyprotein
9165,ORF1ab polyprotein
11941,ORF1a polyprotein
2065,ORF1ab polyprotein
10411,ORF1a polyprotein
3641,ORF1a polyprotein
4845,ORF1ab polyprotein
10438,ORF1ab polyprotein
3615,ORF1a polyprotein
12997,surface glycoprotein
2911,ORF1ab polyprotein
327,ORF1a polyprotein
2688,ORF1ab polyprotein
12933,ORF1a polyprotein
9357,ORF1a polyprotein
4484,ORF1a polyprotein
11019,ORF1ab polyprotein
9954,ORF1ab polyprotein
8113,membrane glycoprotein
11222,nucleocapsid phosphoprotein
11048,nucleocapsid phosphoprotein
6655,ORF1ab polyprotein
9846,ORF1a polyprotein
3871,ORF1ab polyprotein
2260,ORF1a polyprotein
5772,ORF1ab polyprotein
338,ORF1a polyprotein
9228,ORF1ab polyprotein
7807,ORF1ab polyprotein
5689,ORF1ab polyprotein
11709,ORF1a polyprotein
1260,ORF1a polyprotein
387,ORF1ab polyprotein
813,ORF1ab polyprotein
11165,ORF1ab polyprotein
7486,ORF1ab polyprotein
3902,ORF1ab polyprotein
13063,ORF4b protein
6289,ORF1a polyprotein
5397,ORF1a polyprotein
838,ORF3a protein
9535,ORF1ab polyprotein
3829,ORF1ab polyprotein
10986,ORF1ab polyprotein
6995,ORF1a polyprotein
12315,nucleocapsid phosphoprotein
10648,ORF1ab polyprotein
2282,ORF3a protein
11385,ORF4b protein
2514,ORF1ab polyprotein
5298,ORF1a polyprotein
10760,surface glycoprotein
1675,ORF1ab polyprotein
1297,ORF1a polyprotein
6477,ORF1ab polyprotein
3962,surface glycoprotein
6362,ORF1a polyprotein
9366,surface glycoprotein
9750,surface glycoprotein
11740,ORF8b protein
6068,ORF1a polyprotein
1644,ORF1ab polyprotein
3949,ORF1a polyprotein
2416,ORF1ab polyprotein
683,ORF1a polyprotein
9925,ORF1ab polyprotein
9230,ORF1ab polyprotein
10567,surface glycoprotein
6165,ORF1ab polyprotein
5187,surface glycoprotein
6326,surface glycoprotein
12049,ORF1ab polyprotein
8237,ORF1a polyprotein
7688,nucleocapsid phosphoprotein
4783,ORF1ab polyprotein
706,ORF1ab polyprotein
9739,nucleocapsid phosphoprotein
5660,surface glycoprotein
58,ORF1ab polyprotein
10921,ORF1ab polyprotein
5274,surface glycoprotein
2036,ORF1a polyprotein
8119,ORF1ab polyprotein
3893,ORF1ab polyprotein
1936,ORF1a polyprotein
10325,ORF1ab polyprotein
3369,surface glycoprotein
2194,ORF1a polyprotein
3153,surface glycoprotein
8504,ORF1a polyprotein
11050,ORF1ab polyprotein
4014,surface glycoprotein
2608,ORF1a polyprotein
6078,ORF1ab polyprotein
4439,nucleocapsid phosphoprotein
4547,ORF1ab polyprotein
9172,ORF1ab polyprotein
3291,ORF1a polyprotein
365,ORF1a polyprotein
2030,ORF1a polyprotein
6126,ORF1ab polyprotein
9109,ORF1ab polyprotein
5079,surface glycoprotein
5407,ORF1ab polyprotein
7416,ORF1a polyprotein
384,ORF1ab polyprotein
1034,ORF1ab polyprotein
7594,ORF1ab polyprotein
7093,ORF1ab polyprotein
12147,ORF1a polyprotein
9288,membrane glycoprotein
6536,nucleocapsid phosphoprotein
4752,ORF1ab polyprotein
12151,ORF1a polyprotein
4731,ORF1ab polyprotein
8547,ORF1ab polyprotein
4572,ORF1ab polyprotein
3929,ORF1ab polyprotein
9204,surface glycoprotein
8176,ORF1ab polyprotein
12424,ORF4b protein
3137,ORF1a polyprotein
5767,ORF1ab polyprotein
9068,ORF1a polyprotein
3870,ORF1a polyprotein
11408,ORF4b protein
11177,ORF1ab polyprotein
12456,ORF1a polyprotein
12114,ORF5 protein
50,ORF1a polyprotein
883,nucleocapsid phosphoprotein
5987,ORF1a polyprotein
3287,surface glycoprotein
3966,ORF1ab polyprotein
9545,surface glycoprotein
3358,ORF1a polyprotein
12886,ORF1ab polyprotein
2795,ORF1a polyprotein
10651,ORF1ab polyprotein
489,ORF1ab polyprotein
1425,ORF1ab polyprotein
7608,ORF1ab polyprotein
6041,ORF1a polyprotein
2945,ORF1ab polyprotein
1517,ORF1a polyprotein
1026,ORF1a polyprotein
7662,ORF1ab polyprotein
9851,ORF1a polyprotein
8888,ORF1a polyprotein
1560,ORF1a polyprotein
12149,ORF1a polyprotein
8915,ORF1a polyprotein
10652,ORF1a polyprotein
10012,ORF1a polyprotein
6569,ORF1ab polyprotein
6747,ORF1a polyprotein
8364,ORF1ab polyprotein
696,ORF3a protein
3387,nucleocapsid phosphoprotein
2358,ORF1a polyprotein
6016,ORF1ab polyprotein
4565,ORF1ab polyprotein
3397,ORF1ab polyprotein
1040,ORF1ab polyprotein
5252,ORF1ab polyprotein
4361,ORF1a polyprotein
4229,ORF1a polyprotein
2780,ORF1a polyprotein
9793,surface glycoprotein
5899,ORF1a polyprotein
11118,ORF1a polyprotein
11004,ORF1ab polyprotein
2329,ORF1ab polyprotein
7249,ORF1ab polyprotein
11389,surface glycoprotein
9009,ORF1ab polyprotein
4502,ORF1ab polyprotein
790,ORF1ab polyprotein
4101,ORF1ab polyprotein
225,ORF1ab polyprotein
9714,ORF1a polyprotein
9171,ORF1ab polyprotein
12089,ORF1ab polyprotein
7641,ORF1ab polyprotein
11549,ORF1a polyprotein
4999,ORF1a polyprotein
5075,ORF1ab polyprotein
3556,ORF1ab polyprotein
10460,ORF1ab polyprotein
2907,ORF1ab polyprotein
9426,surface glycoprotein
12486,surface glycoprotein
4688,ORF1a polyprotein
13152,ORF4a protein
10520,nucleocapsid phosphoprotein
7543,ORF1a polyprotein
181,surface glycoprotein
4883,surface glycoprotein
4771,ORF1ab polyprotein
1385,surface glycoprotein
13116,ORF1ab polyprotein
13167,ORF7b protein
5320,ORF1ab polyprotein
9432,ORF1ab polyprotein
6275,ORF1ab polyprotein
10426,ORF1a polyprotein
12842,ORF1a polyprotein
11481,surface glycoprotein
374,ORF1ab polyprotein
10737,ORF1a polyprotein
6214,ORF1ab polyprotein
2322,nucleocapsid phosphoprotein
12954,ORF4a protein
7415,ORF6 protein
768,ORF1ab polyprotein
5896,surface glycoprotein
4548,ORF1ab polyprotein
6045,ORF1a polyprotein
5021,ORF1a polyprotein
463,ORF1ab polyprotein
833,ORF1ab polyprotein
4564,ORF3a protein
3777,ORF1a polyprotein
9411,ORF1ab polyprotein
9556,ORF1ab polyprotein
2247,ORF1a polyprotein
11968,ORF1ab polyprotein
12614,ORF1a polyprotein
582,nucleocapsid phosphoprotein
898,ORF1a polyprotein
10615,ORF1ab polyprotein
10879,ORF1a polyprotein
7772,ORF1ab polyprotein
563,ORF1ab polyprotein
1470,ORF1ab polyprotein
1117,ORF1a polyprotein
5347,ORF1ab polyprotein
13040,ORF8b protein
10027,ORF1ab polyprotein
4873,ORF1a polyprotein
5817,ORF1ab polyprotein
9456,surface glycoprotein
7160,ORF1ab polyprotein
6919,ORF1ab polyprotein
8918,ORF1ab polyprotein
1653,ORF1a polyprotein
5081,ORF1ab polyprotein
7095,ORF1a polyprotein
8812,ORF1a polyprotein
6374,ORF1ab polyprotein
266,ORF1ab polyprotein
7333,ORF1ab polyprotein
3714,nucleocapsid phosphoprotein
6320,ORF1a polyprotein
11107,ORF1a polyprotein
10170,nucleocapsid phosphoprotein
11023,surface glycoprotein
7455,ORF1ab polyprotein
5373,ORF3a protein
12983,ORF3 protein
1009,ORF1a polyprotein
5009,ORF1ab polyprotein
3796,ORF1ab polyprotein
7762,ORF1a polyprotein
6099,ORF1a polyprotein
9202,ORF1ab polyprotein
826,ORF1ab polyprotein
1085,ORF1a polyprotein
5141,ORF1a polyprotein
13192,membrane glycoprotein
6076,ORF1a polyprotein
8203,ORF1a polyprotein
5179,ORF1ab polyprotein
8091,ORF1a polyprotein
11791,ORF1ab polyprotein
6091,ORF1a polyprotein
2278,ORF1a polyprotein
12348,nucleocapsid phosphoprotein
5404,ORF1ab polyprotein
12193,membrane glycoprotein
11131,ORF1a polyprotein
4981,ORF1a polyprotein
13012,nucleocapsid phosphoprotein
11151,surface glycoprotein
3845,ORF1ab polyprotein
2939,ORF1ab polyprotein
10082,surface glycoprotein
6589,ORF1ab polyprotein
9629,ORF1ab polyprotein
6991,surface glycoprotein
8845,surface glycoprotein
11756,ORF1a polyprotein
2702,surface glycoprotein
2052,ORF1a polyprotein
7630,ORF1a polyprotein
12504,ORF4b protein
12408,ORF4b protein
12289,ORF1a polyprotein
333,ORF1a polyprotein
3047,ORF1a polyprotein
11390,membrane glycoprotein
169,ORF1ab polyprotein
1162,ORF1ab polyprotein
1863,ORF1a polyprotein
2753,ORF1ab polyprotein
10086,ORF1ab polyprotein
2182,surface glycoprotein
7728,ORF1ab polyprotein
12013,ORF1a polyprotein
2715,ORF1ab polyprotein
13161,ORF3 protein
12788,ORF4a protein
10968,nucleocapsid phosphoprotein
12319,ORF3 protein
10080,ORF3a protein
40,surface glycoprotein
702,ORF1ab polyprotein
11794,ORF1a polyprotein
12221,ORF1ab polyprotein
5702,surface glycoprotein
7935,ORF1a polyprotein
11187,ORF1ab polyprotein
3025,ORF1a polyprotein
13060,ORF4b protein
8705,ORF1a polyprotein
2506,ORF1ab polyprotein
4460,ORF1a polyprotein
6255,ORF1a polyprotein
2274,ORF1ab polyprotein
6983,surface glycoprotein
11382,nucleocapsid phosphoprotein
4293,ORF1a polyprotein
11585,ORF1a polyprotein
3610,ORF1ab polyprotein
4198,ORF1a polyprotein
5513,ORF1ab polyprotein
1069,ORF7a protein
9090,ORF1ab polyprotein
6415,ORF3a protein
11539,surface glycoprotein
3495,ORF1a polyprotein
2811,ORF1ab polyprotein
13016,ORF1ab polyprotein
4853,ORF1a polyprotein
2492,ORF1ab polyprotein
3075,ORF1a polyprotein
8560,surface glycoprotein
10944,nucleocapsid phosphoprotein
7524,ORF1ab polyprotein
9150,ORF1ab polyprotein
6117,ORF1ab polyprotein
3401,ORF8 protein
4836,ORF1a polyprotein
11751,ORF1a polyprotein
9235,ORF1a polyprotein
4308,ORF1ab polyprotein
6120,ORF1ab polyprotein
8810,ORF1a polyprotein
10358,ORF1a polyprotein
9664,ORF1a polyprotein
6513,ORF1ab polyprotein
4034,ORF1a polyprotein
12721,ORF1ab polyprotein
8561,ORF1a polyprotein
1548,ORF1ab polyprotein
6278,ORF1a polyprotein
12564,nucleocapsid phosphoprotein
3156,ORF1a polyprotein
1062,ORF1ab polyprotein
9454,ORF1ab polyprotein
10015,ORF1a polyprotein
6352,ORF1a polyprotein
8441,ORF1a polyprotein
886,ORF1ab polyprotein
5203,ORF1a polyprotein
4608,ORF1a polyprotein
4231,ORF1a polyprotein
6481,ORF1a polyprotein
11372,surface glycoprotein
6823,ORF1ab polyprotein
12818,surface glycoprotein
12759,ORF4b protein
8832,surface glycoprotein
9788,ORF1ab polyprotein
3848,surface glycoprotein
10924,ORF1ab polyprotein
5747,ORF1ab polyprotein
5456,ORF3a protein
274,surface glycoprotein
6308,ORF1ab polyprotein
4126,ORF1a polyprotein
3643,ORF1a polyprotein
7715,ORF1ab polyprotein
6312,ORF1a polyprotein
2334,surface glycoprotein
7740,nucleocapsid phosphoprotein
12669,ORF4b protein
10948,surface glycoprotein
4968,ORF1ab polyprotein
992,ORF1ab polyprotein
12025,ORF1ab polyprotein
3957,nucleocapsid phosphoprotein
7701,ORF1a polyprotein
8385,ORF1ab polyprotein
10038,ORF1a polyprotein
2734,ORF1a polyprotein
10132,ORF3a protein
3872,ORF1a polyprotein
178,ORF1a polyprotein
345,ORF1ab polyprotein
1258,ORF1a polyprotein
9906,surface glycoprotein
6653,ORF1ab polyprotein
11293,ORF1ab polyprotein
11579,surface glycoprotein
4571,nucleocapsid phosphoprotein
11550,ORF1a polyprotein
2602,ORF1a polyprotein
6229,ORF1a polyprotein
3748,ORF1a polyprotein
1404,ORF1a polyprotein
1553,ORF1a polyprotein
12302,ORF1ab polyprotein
1132,ORF1ab polyprotein
11644,ORF1ab polyprotein
2041,ORF1ab polyprotein
6093,ORF1a polyprotein
9648,surface glycoprotein
8840,ORF1ab polyprotein
2995,ORF1ab polyprotein
3266,ORF1a polyprotein
12434,ORF1ab polyprotein
8141,ORF1ab polyprotein
205,ORF1ab polyprotein
12461,surface glycoprotein
1256,ORF1ab polyprotein
12733,ORF8b protein
9993,ORF1ab polyprotein
7518,surface glycoprotein
5438,ORF1a polyprotein
11896,ORF1ab polyprotein
3876,ORF1a polyprotein
1247,ORF7a protein
2851,ORF1ab polyprotein
6874,nucleocapsid phosphoprotein
7951,ORF1a polyprotein
9580,ORF1a polyprotein
9248,ORF1ab polyprotein
7509,ORF1ab polyprotein
7038,ORF1ab polyprotein
9989,surface glycoprotein
8612,ORF1ab polyprotein
5386,ORF1ab polyprotein
1736,ORF1ab polyprotein
11919,ORF1ab polyprotein
12925,ORF1ab polyprotein
620,ORF1ab polyprotein
1893,ORF1ab polyprotein
8815,ORF1ab polyprotein
10140,nucleocapsid phosphoprotein
6977,surface glycoprotein
8245,ORF1ab polyprotein
11112,surface glycoprotein
2073,ORF1ab polyprotein
3461,ORF1ab polyprotein
8686,ORF1ab polyprotein
5291,ORF3a protein
10047,ORF1ab polyprotein
4600,ORF1ab polyprotein
3379,ORF1ab polyprotein
8408,ORF1ab polyprotein
3999,ORF1a polyprotein
13141,ORF5 protein
174,ORF1a polyprotein
3676,ORF1ab polyprotein
2493,ORF1a polyprotein
1758,ORF1ab polyprotein
3100,ORF1ab polyprotein
3299,ORF1a polyprotein
2749,nucleocapsid phosphoprotein
9506,ORF1a polyprotein
657,ORF1ab polyprotein
12460,nucleocapsid phosphoprotein
5508,ORF1a polyprotein
12217,surface glycoprotein
7572,ORF1ab polyprotein
10778,ORF1a polyprotein
5372,ORF1ab polyprotein
11745,membrane glycoprotein
3904,surface glycoprotein
754,ORF1ab polyprotein
11430,ORF4b protein
5583,ORF1a polyprotein
2872,ORF1a polyprotein
1384,ORF1ab polyprotein
2617,ORF1ab polyprotein
728,ORF1ab polyprotein
2917,ORF1ab polyprotein
11937,ORF1a polyprotein
1273,ORF1ab polyprotein
7185,ORF1ab polyprotein
3201,ORF1ab polyprotein
3053,ORF1ab polyprotein
3832,ORF1ab polyprotein
11091,ORF1ab polyprotein
7767,ORF1a polyprotein
9294,ORF1ab polyprotein
2438,ORF1a polyprotein
11089,ORF1a polyprotein
5035,ORF1a polyprotein
6810,ORF1ab polyprotein
4220,ORF1a polyprotein
9606,ORF1ab polyprotein
4158,ORF1a polyprotein
6123,ORF1ab polyprotein
9105,ORF1ab polyprotein
294,surface glycoprotein
9827,membrane glycoprotein
4816,ORF1ab polyprotein
1396,ORF1ab polyprotein
3466,ORF1a polyprotein
4654,nucleocapsid phosphoprotein
3800,ORF1ab polyprotein
11018,ORF1ab polyprotein
4331,surface glycoprotein
7730,ORF1ab polyprotein
2788,surface glycoprotein
541,ORF1a polyprotein
2961,ORF1a polyprotein
7643,surface glycoprotein
6499,ORF1a polyprotein
55,surface glycoprotein
9149,ORF1ab polyprotein
7889,ORF1ab polyprotein
2361,surface glycoprotein
7356,ORF1a polyprotein
4159,ORF1a polyprotein
7885,ORF1ab polyprotein
4313,ORF1ab polyprotein
3938,membrane glycoprotein
9375,ORF1a polyprotein
5619,ORF1a polyprotein
3313,ORF1ab polyprotein
6979,ORF3a protein
2915,ORF1a polyprotein
5996,ORF1a polyprotein
4646,ORF1ab polyprotein
10157,surface glycoprotein
4411,ORF1ab polyprotein
10251,ORF1ab polyprotein
5390,ORF1ab polyprotein
11948,ORF1a polyprotein
10521,ORF1a polyprotein
11463,envelope protein
9349,ORF1ab polyprotein
11016,surface glycoprotein
5559,surface glycoprotein
670,surface glycoprotein
5375,ORF1ab polyprotein
12509,ORF8b protein
1753,surface glycoprotein
603,ORF1ab polyprotein
7673,ORF1a polyprotein
12082,ORF1a polyprotein
4036,nucleocapsid phosphoprotein
1476,ORF1a polyprotein
6257,ORF1ab polyprotein
9269,ORF1ab polyprotein
2313,nucleocapsid phosphoprotein
11712,ORF1ab polyprotein
12412,ORF4b protein
7052,ORF1a polyprotein
8149,ORF1a polyprotein
3094,ORF1a polyprotein
11423,ORF8b protein
9835,ORF1a polyprotein
5136,ORF1a polyprotein
10853,ORF1a polyprotein
9695,ORF1ab polyprotein
6982,ORF1a polyprotein
3320,ORF1a polyprotein
2326,ORF1a polyprotein
11528,membrane glycoprotein
8494,ORF1ab polyprotein
8398,ORF1ab polyprotein
9443,ORF1a polyprotein
7289,ORF1ab polyprotein
9963,nucleocapsid phosphoprotein
4486,ORF1ab polyprotein
8452,ORF3a protein
10091,ORF1ab polyprotein
11788,surface glycoprotein
4285,ORF1ab polyprotein
6085,surface glycoprotein
518,ORF1ab polyprotein
9498,ORF1a polyprotein
4434,ORF1ab polyprotein
1048,ORF1ab polyprotein
4148,ORF1ab polyprotein
9614,ORF1a polyprotein
568,ORF1a polyprotein
7663,ORF1a polyprotein
8711,ORF1a polyprotein
8808,ORF1a polyprotein
4863,ORF1a polyprotein
7863,ORF1a polyprotein
5571,ORF1ab polyprotein
10480,surface glycoprotein
5976,ORF1a polyprotein
3454,ORF3a protein
11858,ORF1a polyprotein
1402,ORF1ab polyprotein
12479,ORF1a polyprotein
11008,ORF1a polyprotein
11101,ORF1a polyprotein
5419,ORF1ab polyprotein
8411,ORF1ab polyprotein
11664,membrane glycoprotein
5343,surface glycoprotein
3931,ORF1ab polyprotein
11883,nucleocapsid phosphoprotein
5294,ORF1ab polyprotein
3887,ORF1a polyprotein
2709,surface glycoprotein
10190,ORF1a polyprotein
5229,surface glycoprotein
4319,ORF1a polyprotein
11298,ORF1ab polyprotein
2213,ORF1ab polyprotein
12728,surface glycoprotein
2414,nucleocapsid phosphoprotein
4194,ORF1ab polyprotein
1655,ORF1ab polyprotein
8958,ORF1ab polyprotein
5797,ORF1a polyprotein
11218,ORF1ab polyprotein
1328,ORF1a polyprotein
5504,ORF1a polyprotein
5410,ORF1ab polyprotein
4984,ORF1a polyprotein
3199,ORF1a polyprotein
5745,surface glycoprotein
11103,nucleocapsid phosphoprotein
12264,ORF1ab polyprotein
5482,ORF1a polyprotein
5199,ORF1ab polyprotein
1371,ORF1a polyprotein
6365,surface glycoprotein
5658,surface glycoprotein
1002,ORF1ab polyprotein
5934,ORF1ab polyprotein
5676,ORF8 protein
3980,ORF1ab polyprotein
585,ORF1a polyprotein
5991,ORF1ab polyprotein
8523,ORF1a polyprotein
6493,ORF1ab polyprotein
8038,ORF1ab polyprotein
5286,ORF1a polyprotein
3068,ORF1a polyprotein
892,surface glycoprotein
4349,ORF1ab polyprotein
3479,ORF1ab polyprotein
5964,ORF1a polyprotein
5720,ORF1a polyprotein
3297,ORF1ab polyprotein
7803,ORF1a polyprotein
2456,ORF1ab polyprotein
622,ORF1ab polyprotein
10650,surface glycoprotein
2548,ORF1ab polyprotein
7388,ORF1ab polyprotein
9520,ORF6 protein
1834,surface glycoprotein
10554,surface glycoprotein
9370,nucleocapsid phosphoprotein
3588,ORF1ab polyprotein
3124,ORF1ab polyprotein
8802,ORF1ab polyprotein
408,ORF1a polyprotein
1953,ORF1a polyprotein
9398,ORF1ab polyprotein
8604,ORF1a polyprotein
5845,ORF1a polyprotein
5034,ORF1ab polyprotein
204,ORF1a polyprotein
5666,ORF1ab polyprotein
8853,ORF1a polyprotein
7544,ORF1ab polyprotein
10314,ORF1ab polyprotein
11129,ORF1ab polyprotein
11679,ORF1ab polyprotein
12872,ORF1a polyprotein
7769,ORF1a polyprotein
7105,ORF1ab polyprotein
2205,ORF1a polyprotein
7002,ORF1ab polyprotein
12915,ORF1ab polyprotein
8353,ORF1ab polyprotein
1405,ORF1ab polyprotein
5841,ORF1a polyprotein
11188,ORF1a polyprotein
2298,ORF1a polyprotein
7724,ORF8 protein
7602,ORF1a polyprotein
12859,envelope protein
3808,ORF1a polyprotein
1843,ORF1a polyprotein
5451,ORF1ab polyprotein
7106,ORF1ab polyprotein
11100,ORF1a polyprotein
7477,surface glycoprotein
4491,ORF1a polyprotein
6178,ORF1ab polyprotein
5080,surface glycoprotein
6527,nucleocapsid phosphoprotein
6343,ORF3a protein
5847,ORF1ab polyprotein
2156,ORF1ab polyprotein
2856,ORF1ab polyprotein
10363,ORF1ab polyprotein
7367,ORF1ab polyprotein
3859,ORF1a polyprotein
7350,ORF1a polyprotein
2425,ORF1ab polyprotein
11765,ORF1ab polyprotein
1555,ORF1a polyprotein
1245,ORF1ab polyprotein
6202,ORF3a protein
6334,ORF1ab polyprotein
8406,ORF1a polyprotein
2124,ORF1a polyprotein
10747,ORF1ab polyprotein
6006,surface glycoprotein
12697,nucleocapsid phosphoprotein
3435,ORF1a polyprotein
13190,ORF5 protein
454,ORF1a polyprotein
12683,ORF4b protein
3814,ORF1ab polyprotein
5485,ORF1ab polyprotein
7970,ORF1a polyprotein
4733,ORF1ab polyprotein
1341,ORF1a polyprotein
6889,nucleocapsid phosphoprotein
5367,ORF1a polyprotein
7245,ORF1a polyprotein
10660,ORF1a polyprotein
5110,ORF1ab polyprotein
1765,ORF1ab polyprotein
7799,ORF1a polyprotein
2969,ORF1ab polyprotein
6423,ORF1ab polyprotein
4960,ORF1ab polyprotein
8184,ORF1a polyprotein
8663,ORF1a polyprotein
7971,ORF1ab polyprotein
12180,ORF3 protein
9957,ORF1ab polyprotein
6961,ORF1a polyprotein
1994,ORF1a polyprotein
1043,ORF1ab polyprotein
3295,ORF1a polyprotein
2622,surface glycoprotein
